"Site","Zone","Year","Species","N"
"Castle Point","Midshore",2004,"Atalacmea fragilis",0
"Castle Point","Midshore",2004,"Buccinulum sp",0.202020202020202
"Castle Point","Midshore",2004,"Calliostoma punctulatum",0
"Castle Point","Midshore",2004,"Cellana ornata",1.61616161616162
"Castle Point","Midshore",2004,"Cellana radians",2.42424242424242
"Castle Point","Midshore",2004,"Cominella maculosa",0
"Castle Point","Midshore",2004,"Cominella virgata",0
"Castle Point","Midshore",2004,"Diloma aethiops",0.606060606060606
"Castle Point","Midshore",2004,"Haustrum haustorium",1.21212121212121
"Castle Point","Midshore",2004,"Haustrum scobina",4.64646464646465
"Castle Point","Midshore",2004,"Neothais scalaris",0
"Castle Point","Midshore",2004,"Nerita atramentosa",0
"Castle Point","Midshore",2004,"Notoacmea parviconoidea",87.4747474747475
"Castle Point","Midshore",2004,"Onchidella nigricans",0
"Castle Point","Midshore",2004,"Patelloida corticata",80
"Castle Point","Midshore",2004,"Plaxiphora caelata",0.202020202020202
"Castle Point","Midshore",2004,"Risellopsis varia",47.6767676767677
"Castle Point","Midshore",2004,"Siphonaria australis",16.3636363636364
"Castle Point","Midshore",2004,"Sypharochiton pelliserpentis",24.6464646464646
"Castle Point","Midshore",2004,"Taron dubius",0
"Castle Point","Midshore",2004,"Turbo smaragdus",0.606060606060606
"Leigh - Caves","Transect #4 - 1ft above low water",1969,"Atalacmea fragilis",NA
"Leigh - Caves","Transect #4 - 1ft above low water",1969,"Buccinulum sp",NA
"Leigh - Caves","Transect #4 - 1ft above low water",1969,"Calliostoma punctulatum",NA
"Leigh - Caves","Transect #4 - 1ft above low water",1969,"Cellana ornata",0
"Leigh - Caves","Transect #4 - 1ft above low water",1969,"Cellana radians",31.9191919191919
"Leigh - Caves","Transect #4 - 1ft above low water",1969,"Cominella maculosa",NA
"Leigh - Caves","Transect #4 - 1ft above low water",1969,"Cominella virgata",NA
"Leigh - Caves","Transect #4 - 1ft above low water",1969,"Diloma aethiops",7.27272727272727
"Leigh - Caves","Transect #4 - 1ft above low water",1969,"Haustrum haustorium",1.41414141414141
"Leigh - Caves","Transect #4 - 1ft above low water",1969,"Haustrum scobina",1.61616161616162
"Leigh - Caves","Transect #4 - 1ft above low water",1969,"Neothais scalaris",0.202020202020202
"Leigh - Caves","Transect #4 - 1ft above low water",1969,"Nerita atramentosa",12.1212121212121
