"Date","Site","Zone","Quad_Size","Quad","Species","Count","Year","Density"
"5-Mar-69","Rangitoto Island - Whites Beach","Oyster Zone",0.09,1,"Turbo smaragdus",2,1969,22.2222222222222
"5-Mar-69","Rangitoto Island - Whites Beach","Oyster Zone",0.09,2,"Turbo smaragdus",6,1969,66.6666666666667
"5-Mar-69","Rangitoto Island - Whites Beach","Oyster Zone",0.09,3,"Turbo smaragdus",1,1969,11.1111111111111
"5-Mar-69","Rangitoto Island - Whites Beach","Oyster Zone",0.09,4,"Turbo smaragdus",1,1969,11.1111111111111
"5-Mar-69","Rangitoto Island - Whites Beach","Oyster Zone",0.09,5,"Turbo smaragdus",0,1969,0
"5-Mar-69","Rangitoto Island - Whites Beach","Oyster Zone",0.09,6,"Turbo smaragdus",0,1969,0
"5-Mar-69","Rangitoto Island - Whites Beach","Oyster Zone",0.09,7,"Turbo smaragdus",0,1969,0
"5-Mar-69","Rangitoto Island - Whites Beach","Oyster Zone",0.09,8,"Turbo smaragdus",2,1969,22.2222222222222
"5-Mar-69","Rangitoto Island - Whites Beach","Oyster Zone",0.09,9,"Turbo smaragdus",0,1969,0
"5-Mar-69","Rangitoto Island - Whites Beach","Oyster Zone",0.09,10,"Turbo smaragdus",0,1969,0
"5-Mar-69","Rangitoto Island - Whites Beach","Oyster Zone",0.09,11,"Turbo smaragdus",0,1969,0
"5-Mar-69","Rangitoto Island - Whites Beach","Oyster Zone",0.09,12,"Turbo smaragdus",0,1969,0
"5-Mar-69","Rangitoto Island - Whites Beach","Oyster Zone",0.09,13,"Turbo smaragdus",0,1969,0
"5-Mar-69","Rangitoto Island - Whites Beach","Oyster Zone",0.09,14,"Turbo smaragdus",0,1969,0
"5-Mar-69","Rangitoto Island - Whites Beach","Oyster Zone",0.09,15,"Turbo smaragdus",2,1969,22.2222222222222
"5-Mar-69","Rangitoto Island - Whites Beach","Below Oyster Zone (+2.4ft)",0.09,1,"Turbo smaragdus",0,1969,0
"5-Mar-69","Rangitoto Island - Whites Beach","Below Oyster Zone (+2.4ft)",0.09,2,"Turbo smaragdus",2,1969,22.2222222222222
"5-Mar-69","Rangitoto Island - Whites Beach","Below Oyster Zone (+2.4ft)",0.09,3,"Turbo smaragdus",0,1969,0
"5-Mar-69","Rangitoto Island - Whites Beach","Below Oyster Zone (+2.4ft)",0.09,4,"Turbo smaragdus",0,1969,0
"5-Mar-69","Rangitoto Island - Whites Beach","Below Oyster Zone (+2.4ft)",0.09,5,"Turbo smaragdus",2,1969,22.2222222222222
"5-Mar-69","Rangitoto Island - Whites Beach","Below Oyster Zone (+2.4ft)",0.09,6,"Turbo smaragdus",3,1969,33.3333333333333
"5-Mar-69","Rangitoto Island - Whites Beach","Below Oyster Zone (+2.4ft)",0.09,7,"Turbo smaragdus",24,1969,266.666666666667
"5-Mar-69","Rangitoto Island - Whites Beach","Below Oyster Zone (+2.4ft)",0.09,8,"Turbo smaragdus",2,1969,22.2222222222222
"5-Mar-69","Rangitoto Island - Whites Beach","Below Oyster Zone (+2.4ft)",0.09,9,"Turbo smaragdus",11,1969,122.222222222222
"5-Mar-69","Rangitoto Island - Whites Beach","Below Oyster Zone (+2.4ft)",0.09,10,"Turbo smaragdus",6,1969,66.6666666666667
"5-Mar-69","Rangitoto Island - Whites Beach","Below Oyster Zone (+2.4ft)",0.09,11,"Turbo smaragdus",1,1969,11.1111111111111
"5-Mar-69","Rangitoto Island - Whites Beach","Below Oyster Zone (+2.4ft)",0.09,12,"Turbo smaragdus",0,1969,0
"5-Mar-69","Rangitoto Island - Whites Beach","Below Oyster Zone (+2.4ft)",0.09,13,"Turbo smaragdus",0,1969,0
"5-Mar-69","Rangitoto Island - Whites Beach","Below Oyster Zone (+2.4ft)",0.09,14,"Turbo smaragdus",0,1969,0
"5-Mar-69","Rangitoto Island - Whites Beach","Below Oyster Zone (+2.4ft)",0.09,15,"Turbo smaragdus",1,1969,11.1111111111111
"5-Mar-69","Rangitoto Island - Whites Beach","Low Zone (+1.6ft)",0.09,1,"Turbo smaragdus",1,1969,11.1111111111111
"5-Mar-69","Rangitoto Island - Whites Beach","Low Zone (+1.6ft)",0.09,2,"Turbo smaragdus",2,1969,22.2222222222222
"5-Mar-69","Rangitoto Island - Whites Beach","Low Zone (+1.6ft)",0.09,3,"Turbo smaragdus",4,1969,44.4444444444444
"5-Mar-69","Rangitoto Island - Whites Beach","Low Zone (+1.6ft)",0.09,4,"Turbo smaragdus",4,1969,44.4444444444444
"5-Mar-69","Rangitoto Island - Whites Beach","Low Zone (+1.6ft)",0.09,5,"Turbo smaragdus",1,1969,11.1111111111111
"5-Mar-69","Rangitoto Island - Whites Beach","Low Zone (+1.6ft)",0.09,6,"Turbo smaragdus",4,1969,44.4444444444444
"5-Mar-69","Rangitoto Island - Whites Beach","Low Zone (+1.6ft)",0.09,7,"Turbo smaragdus",6,1969,66.6666666666667
"5-Mar-69","Rangitoto Island - Whites Beach","Low Zone (+1.6ft)",0.09,8,"Turbo smaragdus",5,1969,55.5555555555556
"5-Mar-69","Rangitoto Island - Whites Beach","Low Zone (+1.6ft)",0.09,9,"Turbo smaragdus",5,1969,55.5555555555556
"5-Mar-69","Rangitoto Island - Whites Beach","Low Zone (+1.6ft)",0.09,10,"Turbo smaragdus",0,1969,0
"5-Mar-69","Rangitoto Island - Whites Beach","Low Zone (+1.6ft)",0.09,11,"Turbo smaragdus",4,1969,44.4444444444444
"5-Mar-69","Rangitoto Island - Whites Beach","Low Zone (+1.6ft)",0.09,12,"Turbo smaragdus",5,1969,55.5555555555556
"5-Mar-69","Rangitoto Island - Whites Beach","Low Zone (+1.6ft)",0.09,13,"Turbo smaragdus",4,1969,44.4444444444444
"5-Mar-69","Rangitoto Island - Whites Beach","Low Zone (+1.6ft)",0.09,14,"Turbo smaragdus",3,1969,33.3333333333333
"5-Mar-69","Rangitoto Island - Whites Beach","Low Zone (+1.6ft)",0.09,15,"Turbo smaragdus",2,1969,22.2222222222222
"7-Mar-69","Leigh - Waterfall Rocks","Transect #1 - Lowest level of C. ornata",0.09,1,"Turbo smaragdus",0,1969,0
"7-Mar-69","Leigh - Waterfall Rocks","Transect #1 - Lowest level of C. ornata",0.09,2,"Turbo smaragdus",0,1969,0
"7-Mar-69","Leigh - Waterfall Rocks","Transect #1 - Lowest level of C. ornata",0.09,3,"Turbo smaragdus",0,1969,0
