"Species","Castle Point - Midshore","Leigh - Caves - Transect #4 - 1ft above low water","Leigh - Caves - Transect #5 - 2ft above low water","Leigh - Waterfall Rocks - ~25 cm above Xiphophora (brown algae) zone","Leigh - Waterfall Rocks - Transect #1 - Lowest level of C. ornata","Leigh - Waterfall Rocks - Transect #3 - 1ft above Xiphora","Leigh - Waterfall Rocks - Transect#2 - 1ft above Xiphora - compare this one","Rangitoto Island - Whites Beach - Below Oyster Zone (+2.4ft)","Rangitoto Island - Whites Beach - Low Zone (+1.6ft)","Rangitoto Island - Whites Beach - Oyster Level","Rangitoto Island - Whites Beach - Oyster Zone","Red Beach - Whangaparaoa - Oyster Level","Red Beach - Whangaparaoa - Transect #1 - Oyster Level","Red Beach - Whangaparaoa - Transect #1 - Unspecified","Red Beach - Whangaparaoa - Transect #2 - Oyster Level","Red Beach - Whangaparaoa - Transect #2 - Unspecified","Red Beach - Whangaparaoa - Transect #3 - Hormosira Zone","Whangarei - Area I - 0.5ft below oysters","Whangarei - Area I - diagonally across oysters","Whangarei - Area I - near bottom of oysters"
"Atalacmea fragilis",0,NA,NA,0,NA,NA,NA,NA,NA,0.202020202020202,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"Buccinulum sp",0.202020202020202,NA,NA,0,NA,NA,NA,NA,NA,0.404040404040404,NA,0.202020202020202,NA,NA,NA,NA,NA,NA,NA,NA
"Calliostoma punctulatum",0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"Cellana ornata",1.61616161616162,NA,NA,1.01010101010101,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"Cellana radians",2.42424242424242,NA,NA,19.3939393939394,NA,NA,NA,NA,NA,1.21212121212121,NA,0.202020202020202,NA,NA,NA,NA,NA,NA,NA,NA
"Cominella maculosa",0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"Cominella virgata",0,NA,NA,0,NA,NA,NA,NA,NA,1.01010101010101,NA,2.82828282828283,NA,NA,NA,NA,NA,NA,NA,NA
"Diloma aethiops",0.606060606060606,NA,NA,1.41414141414141,NA,NA,NA,NA,NA,3.43434343434343,NA,8.88888888888889,NA,NA,NA,NA,NA,NA,NA,NA
"Haustrum haustorium",1.21212121212121,NA,NA,0.808080808080808,NA,NA,NA,NA,NA,1.61616161616162,NA,0.404040404040404,NA,NA,NA,NA,NA,NA,NA,NA
"Haustrum scobina",4.64646464646465,NA,NA,0.808080808080808,NA,NA,NA,NA,NA,7.07070707070707,NA,31.1111111111111,NA,NA,NA,NA,NA,NA,NA,NA
"Neothais scalaris",0,NA,NA,0.202020202020202,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"Nerita atramentosa",0,NA,NA,0.404040404040404,NA,NA,NA,NA,NA,39.5959595959596,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"Notoacmea parviconoidea",87.4747474747475,NA,NA,5.25252525252525,NA,NA,NA,NA,NA,1.21212121212121,NA,0.404040404040404,NA,NA,NA,NA,NA,NA,NA,NA
"Onchidella nigricans",0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"Patelloida corticata",80,NA,NA,10.7070707070707,NA,NA,NA,NA,NA,0.404040404040404,NA,0.202020202020202,NA,NA,NA,NA,NA,NA,NA,NA
"Plaxiphora caelata",0.202020202020202,NA,NA,0,NA,NA,NA,NA,NA,7.67676767676768,NA,1.61616161616162,NA,NA,NA,NA,NA,NA,NA,NA
"Risellopsis varia",47.6767676767677,NA,NA,6.06060606060606,NA,NA,NA,NA,NA,4.44444444444444,NA,0.808080808080808,NA,NA,NA,NA,NA,NA,NA,NA
"Siphonaria australis",16.3636363636364,NA,NA,95.7575757575758,NA,NA,NA,NA,NA,3.23232323232323,NA,1.61616161616162,NA,NA,NA,NA,NA,NA,NA,NA
"Sypharochiton pelliserpentis",24.6464646464646,NA,NA,4.24242424242424,NA,NA,NA,NA,NA,38.7878787878788,NA,14.1414141414141,NA,NA,NA,NA,NA,NA,NA,NA
"Taron dubius",0,NA,NA,0,NA,NA,NA,NA,NA,0.404040404040404,NA,0.404040404040404,NA,NA,NA,NA,NA,NA,NA,NA
"Turbo smaragdus",0.606060606060606,NA,NA,3.23232323232323,NA,NA,NA,NA,NA,1.21212121212121,NA,37.7777777777778,NA,NA,NA,NA,NA,NA,NA,NA
