"Prey","Leigh - Waterfall Rocks","Rangitoto Island - Whites Beach","Red Beach - Whangaparaoa"
"Not Feeding",NA,NA,NA
"Cellana radians",46.2626262626263,0.404040404040404,0.303030303030303
"Cominella adspersa",NA,NA,NA
"Crassostrea gigas",NA,NA,NA
"Dicathais orbita",NA,NA,NA
"Diloma aethiops",4.24242424242424,4.44444444444444,0.606060606060606
"Fossarina rimata",NA,NA,NA
"Haustrum scobina",8.08080808080808,0.202020202020202,22.8282828282828
"Notoacmea parviconoidea",NA,NA,NA
"Patelloida corticata",24.6464646464646,NA,NA
"Plaxiphora caelata",NA,NA,NA
"Risellopsis varia",NA,NA,NA
"Siphonaria australis",1.41414141414141,NA,NA
"Sypharochiton pelliserpentis",2.02020202020202,NA,13.1313131313131
"Turbo smaragdus",0.606060606060606,2.82828282828283,15.7575757575758
"UNID Limpet",NA,NA,NA
"Zeacumantus subcarinatus",NA,NA,NA
