"Prey","AvocaPointNorth","CapeFoulwind","CapeFoulwindNWPlatform","CastlePointBoulders","CastlePointCave","CharlestonJoyceBay","FirstBay","IslandBayLabRocks","KaikouraPaine's","Leigh - Waterfall Rocks","LeighEchinodermReef","LeighGoatIslandReserve","LeighHarbour","LeighShadowRocks","LeighTabletopRocksandBoulders","LighthouseReef","LimestoneBayPoint","MatakitakiakupeCapePalliser","MemorialGardenRocks","OaroSouth","Opunake","PourereTuingaraPoint","Rangitoto Island - Whites Beach","Raramai","Red Beach - Whangaparaoa","RedBeachCliff","Takapuna","TapotupotuBayWest","TaurangaBayNorth","TaurangaHead","TaurangaHeadSWcorner","TaurangaHeadWest","TungutuPoint","WaikukuaBay-2","WaikukuBay","WardBeach","WhakatuPoint","WhangareiBaptistCamp"
"Atalacmea fragilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cantharidella tesselata",NA,1,NA,NA,6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
"Cellana denticulata",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cellana ornata",NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cellana radians",NA,NA,NA,NA,1,NA,NA,1,NA,30,NA,NA,NA,4,NA,NA,NA,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"Chamaesipho columna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chamaesipho spp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crassostrea gigas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dicathais orbita",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diloma aethiops",NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,1,NA,NA
