"Prey","AvocaPointNorth","CapeFoulwind","CapeFoulwindNWPlatform","CastlePointBoulders","CastlePointCave","CharlestonJoyceBay","FirstBay","IslandBayLabRocks","KaikouraPaine's","Leigh - Waterfall Rocks","LeighEchinodermReef","LeighGoatIslandReserve","LeighHarbour","LeighShadowRocks","LeighTabletopRocksandBoulders","LighthouseReef","LimestoneBayPoint","MatakitakiakupeCapePalliser","MemorialGardenRocks","OaroSouth","Opunake","PourereTuingaraPoint","Rangitoto Island - Whites Beach","Raramai","Red Beach - Whangaparaoa","RedBeachCliff","Takapuna","TapotupotuBayWest","TaurangaBayNorth","TaurangaHead","TaurangaHeadSWcorner","TaurangaHeadWest","TungutuPoint","WaikukuaBay-2","WaikukuBay","WardBeach","WhakatuPoint","Whangarei"
"Cellana denticulata",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cellana ornata",NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cellana radians",NA,NA,NA,NA,NA,NA,NA,NA,3,30,NA,7,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Cominella adspersa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crassostrea gigas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Diloma aethiops",NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Fossarina rimata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Haustrum scobina",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,2,2,NA,4,NA,NA,NA,NA,NA,NA,NA,3,NA,27,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"Nerita atramentosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,9,NA,NA,51
"Not Feeding",NA,NA,NA,NA,NA,NA,NA,NA,51,144,56,91,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,82,NA,220,NA,NA,NA,NA,NA,NA,NA,NA,31,75,NA,NA,159
"Patelloida corticata",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Risellopsis varia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Siphonaria australis",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sypharochiton pelliserpentis",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turbo smaragdus",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,18,2,10,NA,1,NA,NA,NA,NA,NA,NA,NA,6,NA,84,NA,7,NA,NA,NA,NA,NA,NA,1,1,NA,NA,3
