"Prey","Leigh - Waterfall Rocks","Rangitoto Island - Whites Beach","Red Beach - Whangaparaoa"
"Not Feeding",953,103,35
"Cellana radians",30,NA,NA
"Cominella adspersa",NA,NA,NA
"Crassostrea gigas",NA,1,NA
"Dicathais orbita",1,NA,NA
"Diloma aethiops",3,1,NA
"Fossarina rimata",1,NA,NA
"Haustrum scobina",8,14,NA
"Notoacmea parviconoidea",3,NA,NA
"Patelloida corticata",24,NA,NA
"Plaxiphora caelata",6,NA,NA
"Risellopsis varia",NA,1,NA
"Siphonaria australis",24,4,NA
"Sypharochiton pelliserpentis",NA,NA,NA
"Turbo smaragdus",6,4,2
"UNID Limpet",1,NA,NA
"Zeacumantus subcarinatus",NA,1,NA
