"Prey","Leigh - Waterfall Rocks","Rangitoto Island - Whites Beach","Red Beach - Whangaparaoa","LeighEchinodermReef","LeighTabletopRocksandBoulders"
"Not Feeding",144,82,220,56,15
"Cellana radians",30,NA,NA,NA,15
"Cominella adspersa",NA,NA,1,NA,NA
"Crassostrea gigas",NA,1,1,NA,NA
"Dicathais orbita",NA,NA,NA,NA,NA
"Diloma aethiops",4,1,NA,NA,3
"Diloma nigerrima",NA,NA,NA,NA,NA
"Fossarina rimata",NA,NA,NA,1,NA
"Haustrum scobina",5,3,27,8,4
"Notoacmea parviconoidea",NA,NA,NA,NA,NA
"Patelloida corticata",1,NA,NA,NA,5
"Plaxiphora caelata",NA,NA,NA,NA,NA
"Risellopsis varia",NA,NA,NA,NA,NA
"Siphonaria australis",4,NA,NA,4,1
"Sypharochiton pelliserpentis",1,NA,NA,NA,NA
"Turbo smaragdus",3,6,84,18,1
"UNID Limpet",NA,NA,NA,NA,NA
"Zeacumantus subcarinatus",NA,NA,NA,NA,NA
