"Prey","AvocaPointNorth","CapeFoulwind","CapeFoulwindNWPlatform","CastlePointBoulders","CastlePointCave","CharlestonJoyceBay","FirstBay","IslandBayLabRocks","KaikouraPaine's","Leigh - Waterfall Rocks","LeighEchinodermReef","LeighGoatIslandReserve","LeighHarbour","LeighShadowRocks","LeighTabletopRocksandBoulders","LighthouseReef","LimestoneBayPoint","MatakitakiakupeCapePalliser","MemorialGardenRocks","OaroSouth","Opunake","PourereTuingaraPoint","Rangitoto Island - Whites Beach","Raramai","Red Beach - Whangaparaoa","RedBeachCliff","Takapuna","TapotupotuBayWest","TaurangaBayNorth","TaurangaHead","TaurangaHeadSWcorner","TaurangaHeadWest","TungutuPoint","WaikukuaBay-2","WaikukuBay","WardBeach","WhakatuPoint","Whangarei"
"Atalacmea fragilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.42749778272971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cantharidella tesselata",NA,7.23672690697836,NA,NA,9.31488848455352,NA,16.797815933498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.3190690272028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.9542397033905,NA,NA,NA,NA,NA,NA,NA,NA
"Cellana denticulata",NA,NA,NA,NA,NA,NA,NA,5.23815401400693,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.73264284846649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cellana ornata",NA,NA,NA,NA,NA,8.70533217768149,21.4731279906815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.6065175504419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cellana radians",NA,NA,NA,NA,3.41063849921872,NA,NA,51.4032317108961,NA,6.24820073646728,NA,NA,NA,6.77927483832503,NA,NA,NA,10.985158374852,NA,NA,8.15142820179405,NA,NA,NA,NA,NA,NA,NA,19.4391537295905,NA,14.8508507248839,NA,NA,NA,NA,NA,NA,NA
"Chamaesipho columna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.7588963984949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chamaesipho spp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5369772726171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crassostrea gigas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.8497332842242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dicathais orbita",NA,NA,NA,NA,NA,NA,NA,NA,NA,53.4363490507352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diloma aethiops",NA,NA,NA,13.2733758050675,NA,NA,NA,NA,NA,12.6487413010577,NA,NA,NA,NA,NA,NA,NA,26.4523524406604,24.4312605252978,NA,NA,NA,4.59309019601664,NA,NA,NA,NA,NA,NA,54.1835799742253,NA,3.82071543879569,27.4473560438725,NA,NA,53.7757870289887,NA,NA
"Diloma bicanaliculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.29746229087772,9.09513910802513,NA,NA,NA,NA,NA,NA,NA
"Diloma nigerrima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.20739864961743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
