"Prey","AvocaPointNorth","CapeFoulwind","CapeFoulwindNWPlatform","CastlePointBoulders","CastlePointCave","CharlestonJoyceBay","FirstBay","IslandBayLabRocks","KaikouraPaine's","Leigh - Waterfall Rocks","LeighEchinodermReef","LeighGoatIslandReserve","LeighHarbour","LeighShadowRocks","LeighTabletopRocksandBoulders","LighthouseReef","LimestoneBayPoint","MatakitakiakupeCapePalliser","MemorialGardenRocks","OaroSouth","Opunake","PourereTuingaraPoint","Rangitoto Island - Whites Beach","Raramai","Red Beach - Whangaparaoa","RedBeachCliff","Takapuna","TapotupotuBayWest","TaurangaBayNorth","TaurangaHead","TaurangaHeadSWcorner","TaurangaHeadWest","TungutuPoint","WaikukuaBay-2","WaikukuBay","WardBeach","WhakatuPoint","WhangareiBaptistCamp"
"Cellana denticulata",NA,NA,NA,NA,NA,NA,NA,NA,9.82990216731654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cellana ornata",NA,NA,NA,NA,NA,NA,NA,NA,12.0718735273287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cellana radians",NA,NA,NA,NA,NA,NA,NA,NA,14.5322413312444,9.14538588588375,NA,11.2735826272241,NA,NA,10.2480674859815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.83916170015641,NA,NA,NA
"Cominella adspersa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.954493158579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crassostrea gigas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.6301686962511,NA,68.6301686962511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.410604108278
"Diloma aethiops",NA,NA,NA,NA,NA,NA,NA,NA,55.7312357008076,24.4166991874847,NA,NA,23.2743072264225,NA,17.811356977719,NA,NA,NA,NA,NA,NA,NA,17.0172823836673,NA,NA,NA,35.6966237430855,NA,NA,NA,NA,NA,NA,NA,4.85022681899765,NA,NA,NA
"Fossarina rimata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2580655568046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Haustrum scobina",NA,NA,NA,NA,NA,NA,NA,NA,NA,44.245667599083,26.4403078206387,56.712880298113,59.6324181239829,NA,36.0792876285693,NA,NA,NA,NA,NA,NA,NA,48.3114506305373,NA,47.6068577031321,NA,55.2704991892024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.8134537446037
"Nerita atramentosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.9002721199367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.1906797818041,43.2240439139335,NA,NA,19.4709691351543
"Not Feeding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Patelloida corticata",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7133954552336,NA,NA,NA,NA,8.13107959417355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Risellopsis varia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.3589169618375
"Siphonaria australis",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.73988531341256,3.08516440088826,NA,NA,NA,6.03999703813443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sypharochiton pelliserpentis",NA,NA,NA,NA,NA,NA,NA,NA,NA,42.4122314973262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turbo smaragdus",NA,NA,NA,NA,NA,NA,NA,NA,NA,140.916802813957,89.254405243537,180.589165299015,134.147115992363,NA,131.41419888133,NA,NA,NA,NA,NA,NA,NA,116.071130935036,NA,121.228102929432,NA,182.619522830839,NA,NA,NA,NA,NA,NA,91.9207144072316,247.933676132251,NA,NA,162.30299519927
