"Prey","Leigh - Waterfall Rocks","Rangitoto Island - Whites Beach","Red Beach - Whangaparaoa"
"Not Feeding",NA,NA,NA
"Cellana radians",9.14538588588375,NA,NA
"Cominella adspersa",NA,NA,91.954493158579
"Crassostrea gigas",NA,68.6301686962511,68.6301686962511
"Dicathais orbita",NA,NA,NA
"Diloma aethiops",24.4166991874847,17.0172823836673,NA
"Fossarina rimata",NA,NA,NA
"Haustrum scobina",44.245667599083,48.3114506305373,47.6068577031321
"Notoacmea parviconoidea",NA,NA,NA
"Patelloida corticata",3.7133954552336,NA,NA
"Plaxiphora caelata",NA,NA,NA
"Risellopsis varia",NA,NA,NA
"Siphonaria australis",4.73988531341256,NA,NA
"Sypharochiton pelliserpentis",42.4122314973262,NA,NA
"Turbo smaragdus",140.916802813957,116.071130935036,121.228102929432
"UNID Limpet",NA,NA,NA
"Zeacumantus subcarinatus",NA,NA,NA
