"Prey","Leigh - Waterfall Rocks","Rangitoto Island - Whites Beach","Red Beach - Whangaparaoa","LeighEchinodermReef","LeighTabletopRocksandBoulders"
"Not Feeding",NA,NA,NA,NA,NA
"Cellana radians",6.24820073646728,NA,NA,NA,NA
"Cominella adspersa",NA,NA,NA,NA,NA
"Crassostrea gigas",NA,73.8497332842242,NA,NA,NA
"Dicathais orbita",53.4363490507352,NA,NA,NA,NA
"Diloma aethiops",12.6487413010577,4.59309019601664,NA,NA,NA
"Diloma nigerrima",NA,NA,NA,NA,3.20739864961743
"Fossarina rimata",14.386646527977,NA,NA,NA,NA
"Haustrum scobina",36.801627926171,31.3541837772762,NA,35.3414846204417,44.807024419785
"Notoacmea parviconoidea",3.45613163522826,NA,NA,4.69728403620042,NA
"Patelloida corticata",9.25309206555188,NA,NA,NA,3.90800861794752
"Plaxiphora caelata",18.8887477009589,NA,NA,35.1804196528764,35.1405812126346
"Risellopsis varia",NA,25.0848121575647,NA,NA,NA
"Siphonaria australis",4.81118130413457,3.66057046213188,NA,2.09658327825735,4.75459911172423
"Sypharochiton pelliserpentis",NA,NA,NA,NA,NA
"Turbo smaragdus",89.1288283473353,146.823587159569,88.8161974858271,53.3507288347853,NA
"UNID Limpet",2.77561091621891,NA,NA,NA,NA
"Zeacumantus subcarinatus",NA,13.9251706227869,NA,NA,NA
