"MatchToPred","MatchToPrey","Pred","Prey","Year","Date","Site","Area","CensusID","ObservationType","Counter","PredSize","PreySize","EstimatedPreySize","Drilling","DayNight","TideZone","PossibleChaemoPred","ObsComment","Temp","N","ConLevel","Window","Type","logIntC","logPredSizeC","logPreySizeC","logTempC","IntC","PredSizeC","PreySizeC","TempC","R2","Sigma","Pvalue","htime"
"Haustrum haustorium","Austrolittorina cincta","Haustrum haustorium","Zeacumantus subcarinatus",2004,"6/10/04","Rangitoto Island - Whites Beach","Area_01",116,"Systematic Census","Mark_Novak",26,10,FALSE,FALSE,"Night","General_Unspecified",FALSE,"no other Zeacs even seen",14,55,0.1,0.1,"Weighted",8.686659,-1.855402,1.451905,-1.269778,5923.359324,0.15639,4.271244,0.280894,0.564703683289886,1.22410218851976,2.71109157345961e-09,13.9251706227869
"Haustrum haustorium","Austrolittorina cincta","Haustrum haustorium","Zeacumantus subcarinatus",2004,"5/9/04","LimestoneBayPoint","General",40,"Systematic Census","Mark_Novak",21,8,FALSE,FALSE,"Day","General_Unspecified",FALSE,"",14,55,0.1,0.1,"Weighted",8.686659,-1.855402,1.451905,-1.269778,5923.359324,0.15639,4.271244,0.280894,0.564703683289886,1.22410218851976,2.71109157345961e-09,14.9689882906307
"Haustrum haustorium","Austrolittorina cincta","Haustrum haustorium","Zeacumantus subcarinatus",2004,"7/31/04","MemorialGardenRocks","Area_04",213,"Systematic Census","Mark_Novak",8.7,2,FALSE,FALSE,"Day","General_Unspecified",FALSE,"",14,55,0.1,0.1,"Weighted",8.686659,-1.855402,1.451905,-1.269778,5923.359324,0.15639,4.271244,0.280894,0.564703683289886,1.22410218851976,2.71109157345961e-09,10.2593763249189
"Haustrum haustorium","Austrolittorina cincta","Haustrum haustorium","Zeacumantus subcarinatus",2004,"5/29/04","TungutuPoint","Area_02",61,"Systematic Census","Mark_Novak",28,12,FALSE,FALSE,"Day","General_Unspecified",FALSE,"no other Zeacs even seen in area!",14,55,0.1,0.1,"Weighted",8.686659,-1.855402,1.451905,-1.269778,5923.359324,0.15639,4.271244,0.280894,0.564703683289886,1.22410218851976,2.71109157345961e-09,15.8142516855989
"Haustrum haustorium","Cantharidella tesselata","Haustrum haustorium","Cantharidella tesselata",2004,"7/1/04","TaurangaHead","Area_01",196,"Systematic Census","Mark_Novak",23,4,FALSE,FALSE,"Night","General_Unspecified",FALSE,"",14,23,0.1,0.1,"Weighted",12.267286,-2.135655,1.108418,-1.723217,212625.172013,0.118167,3.029561,0.178491,0.601889317814791,1.80432346101018,0.000457920065499717,12.9342297881526
"Haustrum haustorium","Cantharidella tesselata","Haustrum haustorium","Cantharidella tesselata",2004,"6/14/04","CastlePointCave","Area_01",134,"Systematic Census","Mark_Novak",27,4,FALSE,FALSE,"Day","General_Unspecified",FALSE,"",14,23,0.1,0.1,"Weighted",12.267286,-2.135655,1.108418,-1.723217,212625.172013,0.118167,3.029561,0.178491,0.601889317814791,1.80432346101018,0.000457920065499717,9.18379655050192
"Haustrum haustorium","Cantharidella tesselata","Haustrum haustorium","Cantharidella tesselata",2004,"6/14/04","CastlePointCave","Area_01",134,"Systematic Census","Mark_Novak",24,4,FALSE,FALSE,"Day","General_Unspecified",FALSE,"",14,23,0.1,0.1,"Weighted",12.267286,-2.135655,1.108418,-1.723217,212625.172013,0.118167,3.029561,0.178491,0.601889317814791,1.80432346101018,0.000457920065499717,11.8104486176906
"Haustrum haustorium","Cantharidella tesselata","Haustrum haustorium","Cantharidella tesselata",2004,"7/1/04","TaurangaHead","Area_01",196,"Systematic Census","Mark_Novak",27,5,TRUE,FALSE,"Night","General_Unspecified",FALSE,"",14,23,0.1,0.1,"Weighted",12.267286,-2.135655,1.108418,-1.723217,212625.172013,0.118167,3.029561,0.178491,0.601889317814791,1.80432346101018,0.000457920065499717,11.760859371287
"Haustrum haustorium","Cantharidella tesselata","Haustrum haustorium","Cantharidella tesselata",2004,"8/21/04","MemorialGardenRocks","Area_06",236,"Systematic Census","Mark_Novak",28,6,FALSE,FALSE,"Day","General_Unspecified",FALSE,"",14,23,0.1,0.1,"Weighted",12.267286,-2.135655,1.108418,-1.723217,212625.172013,0.118167,3.029561,0.178491,0.601889317814791,1.80432346101018,0.000457920065499717,13.3190690272028
"Haustrum haustorium","Cantharidella tesselata","Haustrum haustorium","Cantharidella tesselata",2004,"7/1/04","TaurangaHead","Area_01",196,"Systematic Census","Mark_Novak",28,6,FALSE,FALSE,"Night","General_Unspecified",FALSE,"",14,23,0.1,0.1,"Weighted",12.267286,-2.135655,1.108418,-1.723217,212625.172013,0.118167,3.029561,0.178491,0.601889317814791,1.80432346101018,0.000457920065499717,13.3190690272028
"Haustrum haustorium","Cantharidella tesselata","Haustrum haustorium","Cantharidella tesselata",2004,"7/1/04","TaurangaHead","Area_02",197,"Systematic Census","Mark_Novak",23,5,FALSE,FALSE,"Night","General_Unspecified",FALSE,"",14,23,0.1,0.1,"Weighted",12.267286,-2.135655,1.108418,-1.723217,212625.172013,0.118167,3.029561,0.178491,0.601889317814791,1.80432346101018,0.000457920065499717,16.5637007285468
"Haustrum haustorium","Cantharidella tesselata","Haustrum haustorium","Cantharidella tesselata",2004,"7/1/04","TaurangaHead","Area_02",197,"Systematic Census","Mark_Novak",30,5,FALSE,FALSE,"Night","General_Unspecified",FALSE,"",14,23,0.1,0.1,"Weighted",12.267286,-2.135655,1.108418,-1.723217,212625.172013,0.118167,3.029561,0.178491,0.601889317814791,1.80432346101018,0.000457920065499717,9.39110818213142
"Haustrum haustorium","Cantharidella tesselata","Haustrum haustorium","Cantharidella tesselata",2004,"8/3/04","FirstBay","Area_02",220,"Systematic Census","Mark_Novak",31,9,FALSE,FALSE,"Day","General_Unspecified",FALSE,"Not 100% on prey ID",14,23,0.1,0.1,"Weighted",12.267286,-2.135655,1.108418,-1.723217,212625.172013,0.118167,3.029561,0.178491,0.601889317814791,1.80432346101018,0.000457920065499717,16.797815933498
"Haustrum haustorium","Cantharidella tesselata","Haustrum haustorium","Cantharidella tesselata",2004,"7/1/04","TaurangaHead","Area_01",196,"Systematic Census","Mark_Novak",22,5,FALSE,FALSE,"Night","General_Unspecified",FALSE,"",14,23,0.1,0.1,"Weighted",12.267286,-2.135655,1.108418,-1.723217,212625.172013,0.118167,3.029561,0.178491,0.601889317814791,1.80432346101018,0.000457920065499717,18.2132113105172
"Haustrum haustorium","Cantharidella tesselata","Haustrum haustorium","Cantharidella tesselata",2004,"6/14/04","CastlePointCave","Area_01",134,"Systematic Census","Mark_Novak",30,5,FALSE,FALSE,"Day","General_Unspecified",FALSE,"",14,23,0.1,0.1,"Weighted",12.267286,-2.135655,1.108418,-1.723217,212625.172013,0.118167,3.029561,0.178491,0.601889317814791,1.80432346101018,0.000457920065499717,9.39110818213142
"Haustrum haustorium","Cantharidella tesselata","Haustrum haustorium","Cantharidella tesselata",2004,"7/1/04","CapeFoulwind","Area_01",191,"Systematic Census","Mark_Novak",26,3,FALSE,FALSE,"Day","General_Unspecified",FALSE,"",14,23,0.1,0.1,"Weighted",12.267286,-2.135655,1.108418,-1.723217,212625.172013,0.118167,3.029561,0.178491,0.601889317814791,1.80432346101018,0.000457920065499717,7.23672690697836
"Haustrum haustorium","Cantharidella tesselata","Haustrum haustorium","Cantharidella tesselata",2004,"6/14/04","CastlePointCave","Area_01",134,"Systematic Census","Mark_Novak",29,4,FALSE,FALSE,"Day","General_Unspecified",FALSE,"",14,23,0.1,0.1,"Weighted",12.267286,-2.135655,1.108418,-1.723217,212625.172013,0.118167,3.029561,0.178491,0.601889317814791,1.80432346101018,0.000457920065499717,7.88394957185769
"Haustrum haustorium","Cantharidella tesselata","Haustrum haustorium","Cantharidella tesselata",2004,"7/1/04","TaurangaHead","Area_01",196,"Systematic Census","Mark_Novak",28,4,FALSE,FALSE,"Night","General_Unspecified",FALSE,"",14,23,0.1,0.1,"Weighted",12.267286,-2.135655,1.108418,-1.723217,212625.172013,0.118167,3.029561,0.178491,0.601889317814791,1.80432346101018,0.000457920065499717,8.49749951589584
"Haustrum haustorium","Cantharidella tesselata","Haustrum haustorium","Cantharidella tesselata",2004,"6/14/04","CastlePointCave","Area_01",134,"Systematic Census","Mark_Novak",23,4,FALSE,FALSE,"Day","General_Unspecified",FALSE,"",14,23,0.1,0.1,"Weighted",12.267286,-2.135655,1.108418,-1.723217,212625.172013,0.118167,3.029561,0.178491,0.601889317814791,1.80432346101018,0.000457920065499717,12.9342297881526
"Haustrum haustorium","Cantharidella tesselata","Haustrum haustorium","Cantharidella tesselata",2004,"6/14/04","CastlePointCave","Area_01",134,"Systematic Census","Mark_Novak",37,4,FALSE,FALSE,"Day","General_Unspecified",FALSE,"Haven't checked prey species specific, Genus probably right",14,23,0.1,0.1,"Weighted",12.267286,-2.135655,1.108418,-1.723217,212625.172013,0.118167,3.029561,0.178491,0.601889317814791,1.80432346101018,0.000457920065499717,4.68579819698682
"Haustrum haustorium","Cellana denticulata","Haustrum haustorium","Cellana denticulata",2004,"6/16/04","MatakitakiakupeCapePalliser","Area_03",144,"Systematic Census","Mark_Novak",53,25,FALSE,FALSE,"Day","General_Unspecified",FALSE,"",14,23,0.1,0.1,"Weighted",9.266961,-3.533369,2.705553,-0.877887,10582.540094,0.029206,14.962591,0.41566,0.792320325410973,1.62980504089582,1.06635750407591e-06,5.10642552910326
"Haustrum haustorium","Cellana denticulata","Haustrum haustorium","Cellana denticulata",2004,"6/21/04","IslandBayLabRocks","Area_01",159,"Systematic Census","Mark_Novak",51,24,FALSE,FALSE,"Day","General_Unspecified",FALSE,"",14,23,0.1,0.1,"Weighted",9.266961,-3.533369,2.705553,-0.877887,10582.540094,0.029206,14.962591,0.41566,0.792320325410973,1.62980504089582,1.06635750407591e-06,5.23815401400693
