"Pred","Year","Site","Area","PredSize","Prey","PreySize"
"Haustrum haustorium",2004,"MemorialGardenRocks","Area_04",8.7,"Zeacumantus subcarinatus",2
"Haustrum haustorium",2004,"Rangitoto Island - Whites Beach","Area_01",26,"Zeacumantus subcarinatus",10
"Haustrum haustorium",2004,"TungutuPoint","Area_02",28,"Zeacumantus subcarinatus",12
"Haustrum haustorium",2004,"LimestoneBayPoint","General",21,"Zeacumantus subcarinatus",8
"Haustrum haustorium",2004,"CastlePointCave","Area_01",30,"Cantharidella tesselata",5
"Haustrum haustorium",2004,"TaurangaHead","Area_01",28,"Cantharidella tesselata",6
"Haustrum haustorium",2004,"TaurangaHead","Area_01",22,"Cantharidella tesselata",5
"Haustrum haustorium",2004,"FirstBay","Area_02",31,"Cantharidella tesselata",9
"Haustrum haustorium",2004,"TaurangaHead","Area_01",27,"Cantharidella tesselata",5
"Haustrum haustorium",2004,"TaurangaHead","Area_01",28,"Cantharidella tesselata",4
"Haustrum haustorium",2004,"MemorialGardenRocks","Area_06",28,"Cantharidella tesselata",6
"Haustrum haustorium",2004,"CapeFoulwind","Area_01",26,"Cantharidella tesselata",3
"Haustrum haustorium",2004,"CastlePointCave","Area_01",27,"Cantharidella tesselata",4
"Haustrum haustorium",2004,"CastlePointCave","Area_01",37,"Cantharidella tesselata",4
"Haustrum haustorium",2004,"TaurangaHead","Area_02",23,"Cantharidella tesselata",5
"Haustrum haustorium",2004,"CastlePointCave","Area_01",29,"Cantharidella tesselata",4
"Haustrum haustorium",2004,"CastlePointCave","Area_01",23,"Cantharidella tesselata",4
"Haustrum haustorium",2004,"CastlePointCave","Area_01",24,"Cantharidella tesselata",4
"Haustrum haustorium",2004,"TaurangaHead","Area_02",30,"Cantharidella tesselata",5
"Haustrum haustorium",2004,"TaurangaHead","Area_01",23,"Cantharidella tesselata",4
"Haustrum haustorium",1969,"KaikouraPaine's","General",43.8,"Cellana denticulata",24.9
"Haustrum haustorium",2004,"MatakitakiakupeCapePalliser","Area_03",53,"Cellana denticulata",25
"Haustrum haustorium",1969,"KaikouraPaine's","General",48.3,"Cellana denticulata",26
"Haustrum haustorium",1969,"KaikouraPaine's","General",43,"Cellana denticulata",25.1
"Haustrum haustorium",1969,"KaikouraPaine's","General",42,"Cellana denticulata",23
"Haustrum haustorium",2004,"IslandBayLabRocks","Area_01",51,"Cellana denticulata",24
"Haustrum haustorium",1969,"KaikouraPaine's","General",38.4,"Cellana denticulata",22
"Haustrum haustorium",2004,"MatakitakiakupeCapePalliser","Area_02",52,"Cellana denticulata",23
"Haustrum haustorium",1969,"KaikouraPaine's","General",42,"Cellana ornata",12
"Haustrum haustorium",1969,"KaikouraPaine's","General",40,"Cellana ornata",15.9
"Haustrum haustorium",1969,"KaikouraPaine's","General",39.9,"Cellana ornata",15.4
"Haustrum haustorium",2004,"OaroSouth","Area_01",34,"Cellana ornata",14
"Haustrum haustorium",2004,"CharlestonJoyceBay","Area_02",47,"Cellana ornata",15
"Haustrum haustorium",2004,"FirstBay","Area_01",23,"Cellana ornata",11
"Haustrum haustorium",2004,"FirstBay","Area_02",38,"Cellana ornata",25
"Haustrum haustorium",1969,"KaikouraPaine's","General",40,"Cellana ornata",17
"Haustrum haustorium",1969,"KaikouraPaine's","General",41.8,"Cellana ornata",21
"Haustrum haustorium",1969,"KaikouraPaine's","General",38.6,"Cellana ornata",13.5
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","General",49,"Cellana radians",24
"Haustrum haustorium",2004,"Leigh - Waterfall Rocks","Area_01",52,"Cellana radians",20
"Haustrum haustorium",1969,"Leigh - Tabletop Rocks and Boulders","General",32,"Cellana radians",20
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","General",27.8,"Cellana radians",12.2
"Haustrum haustorium",1969,"KaikouraPaine's","General",42.2,"Cellana radians",29
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","Area_02",51.7,"Cellana radians",31.3
"Haustrum haustorium",2004,"TaurangaHeadSWcorner","General",39,"Cellana radians",24
"Haustrum haustorium",2004,"Leigh - Waterfall Rocks","Area_01",33,"Cellana radians",15
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","General",48,"Cellana radians",28
"Haustrum haustorium",2004,"Leigh - Waterfall Rocks","Area_08",30,"Cellana radians",13
"Haustrum haustorium",1969,"LeighGoatIslandReserve","Area_02",26.4,"Cellana radians",14.8
"Haustrum haustorium",1969,"LeighGoatIslandReserve","Area_02",32.6,"Cellana radians",24.6
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","Area_02",47.8,"Cellana radians",14.1
"Haustrum haustorium",2004,"IslandBayLabRocks","Area_01",34,"Cellana radians",38
"Haustrum haustorium",1969,"Leigh - Tabletop Rocks and Boulders","General",33,"Cellana radians",14
"Haustrum haustorium",2004,"MatakitakiakupeCapePalliser","Area_02",31,"Cellana radians",14
"Haustrum haustorium",2004,"Leigh - Waterfall Rocks","Area_02",29,"Cellana radians",12
"Haustrum haustorium",1969,"Leigh - Tabletop Rocks and Boulders","General",43,"Cellana radians",22
"Haustrum haustorium",2004,"Leigh - Waterfall Rocks","Area_10",40,"Cellana radians",18
"Haustrum haustorium",2004,"Opunake","Area_01",34,"Atalacmea fragilis",13
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","General",53,"Cellana radians",24
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","General",50,"Cellana radians",24
"Haustrum haustorium",2004,"Leigh - Waterfall Rocks","Area_06",52,"Cellana radians",23
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","Area_02",36.8,"Cellana radians",11
"Haustrum haustorium",2004,"Leigh - Waterfall Rocks","General",46,"Cellana radians",16
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","Area_02",44,"Cellana radians",17.5
"Haustrum haustorium",1969,"LeighGoatIslandReserve","Area_01",44.3,"Cellana radians",16.2
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","General",53,"Cellana radians",21
"Haustrum haustorium",2004,"LeighShadowRocks","General",42,"Cellana radians",17
"Haustrum haustorium",2004,"Leigh - Waterfall Rocks","Area_06",40,"Cellana radians",13
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","Area_05",58.5,"Cellana radians",32.6
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","Area_09",52.9,"Cellana radians",21.8
"Haustrum haustorium",2004,"Leigh - Waterfall Rocks","Area_05",29,"Cellana radians",16
"Haustrum haustorium",2004,"Leigh - Waterfall Rocks","Area_01",33,"Cellana radians",15
"Haustrum haustorium",1969,"LeighGoatIslandReserve","General",NA,"Cellana radians",24
"Haustrum haustorium",2004,"Leigh - Waterfall Rocks","Area_06",37,"Cellana radians",16
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","General",46.4,"Cellana radians",12
"Haustrum haustorium",2004,"Leigh - Waterfall Rocks","Area_02",49,"Cellana radians",19
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","Area_02",34.6,"Cellana radians",21.7
"Haustrum haustorium",2004,"Leigh - Waterfall Rocks","Area_09",38,"Cellana radians",16
"Haustrum haustorium",2004,"Leigh - Waterfall Rocks","Area_10",30,"Cellana radians",12
"Haustrum haustorium",1969,"LeighGoatIslandReserve","Area_02",30.1,"Cellana radians",10.9
"Haustrum haustorium",2004,"Opunake","Area_01",52,"Cellana radians",22
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","General",39,"Cellana radians",26
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","General",38,"Cellana radians",12
"Haustrum haustorium",2004,"TaurangaBayNorth","Area_01",39,"Cellana radians",27
"Haustrum haustorium",1969,"LeighGoatIslandReserve","General",NA,"Cellana radians",22
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","General",57.1,"Cellana radians",29.5
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","General",53,"Cellana radians",20
"Haustrum haustorium",1969,"Leigh - Tabletop Rocks and Boulders","General",32,"Cellana radians",15
"Haustrum haustorium",1969,"Leigh - Tabletop Rocks and Boulders","General",53,"Cellana radians",36
"Haustrum haustorium",2004,"Leigh - Waterfall Rocks","Area_06",50,"Cellana radians",15
"Haustrum haustorium",2004,"Leigh - Waterfall Rocks","Area_10",31,"Cellana radians",14
"Haustrum haustorium",2004,"Leigh - Waterfall Rocks","Area_01",32,"Cellana radians",12
"Haustrum haustorium",2004,"Leigh - Waterfall Rocks","Area_08",24,"Cellana radians",14
"Haustrum haustorium",2004,"LeighShadowRocks","General",34,"Cellana radians",8
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","General",43,"Cellana radians",22
"Haustrum haustorium",2004,"Leigh - Waterfall Rocks","Area_12",31,"Cellana radians",16
"Haustrum haustorium",1969,"Leigh - Tabletop Rocks and Boulders","General",33,"Cellana radians",16
"Haustrum haustorium",2004,"MatakitakiakupeCapePalliser","Area_01",46,"Cellana radians",32
"Haustrum haustorium",2004,"Leigh - Waterfall Rocks","Area_01",31,"Cellana radians",14
"Haustrum haustorium",1969,"LeighGoatIslandReserve","General",37,"Cellana radians",24
"Haustrum haustorium",1969,"Leigh - Tabletop Rocks and Boulders","General",37,"Cellana radians",17
"Haustrum haustorium",2004,"CastlePointCave","Area_01",41,"Cellana radians",13
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","Area_09",52.7,"Cellana radians",18.9
"Haustrum haustorium",2004,"Leigh - Waterfall Rocks","Area_01",37,"Cellana radians",15
"Haustrum haustorium",2004,"MatakitakiakupeCapePalliser","Area_01",48,"Cellana radians",24
"Haustrum haustorium",2004,"LeighShadowRocks","General",38,"Cellana radians",19
"Haustrum haustorium",1969,"Leigh - Tabletop Rocks and Boulders","General",53,"Cellana radians",29
"Haustrum haustorium",2004,"Leigh - Waterfall Rocks","Area_07",42,"Cellana radians",15
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","General",56,"Cellana radians",24
"Haustrum haustorium",1969,"LeighGoatIslandReserve","Area_02",37.8,"Cellana radians",23.5
"Haustrum haustorium",1969,"KaikouraPaine's","General",52,"Cellana radians",22
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","General",47,"Cellana radians",21
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","Area_05",49.4,"Cellana radians",22.2
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","Area_09",46.1,"Cellana radians",21.1
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","General",60,"Cellana radians",27
"Haustrum haustorium",1969,"Leigh - Tabletop Rocks and Boulders","General",53,"Cellana radians",27
"Haustrum haustorium",1969,"Leigh - Tabletop Rocks and Boulders","General",48,"Cellana radians",21
"Haustrum haustorium",1969,"LeighGoatIslandReserve","Area_01",54.7,"Cellana radians",25.8
"Haustrum haustorium",1969,"KaikouraPaine's","General",39.1,"Cellana radians",24.1
"Haustrum haustorium",2004,"MatakitakiakupeCapePalliser","Area_02",32,"Cellana radians",19
"Haustrum haustorium",2004,"Leigh - Waterfall Rocks","Area_10",29,"Cellana radians",13
"Haustrum haustorium",2004,"Leigh - Waterfall Rocks","Area_05",34,"Cellana radians",12
"Haustrum haustorium",1969,"Leigh - Tabletop Rocks and Boulders","General",39,"Cellana radians",19
"Haustrum haustorium",1969,"Leigh - Tabletop Rocks and Boulders","General",37,"Cellana radians",24
"Haustrum haustorium",2004,"Leigh - Waterfall Rocks","Area_10",25,"Cellana radians",12
"Haustrum haustorium",1969,"Leigh - Tabletop Rocks and Boulders","General",47,"Cellana radians",19
"Haustrum haustorium",1969,"Leigh - Tabletop Rocks and Boulders","General",54,"Cellana radians",13
"Haustrum haustorium",2004,"Leigh - Waterfall Rocks","Area_01",43,"Cellana radians",17
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","General",29.2,"Cellana radians",11.5
"Haustrum haustorium",2004,"MatakitakiakupeCapePalliser","Area_02",30,"Cellana radians",11
"Haustrum haustorium",2004,"Leigh - Waterfall Rocks","Area_05",42,"Cellana radians",28
"Haustrum haustorium",2004,"Leigh - Waterfall Rocks","Area_06",46,"Cellana radians",12
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","Area_02",50.9,"Cellana radians",22.4
"Haustrum haustorium",1969,"WaikukuBay","General",44.4,"Cellana radians",20.7
"Haustrum haustorium",2004,"Leigh - Waterfall Rocks","Area_01",36,"Cellana radians",16
"Haustrum haustorium",1969,"Leigh - Tabletop Rocks and Boulders","General",58,"Cellana radians",25
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","General",34.2,"Cellana radians",15.4
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","General",36.4,"Cellana radians",25.5
"Haustrum haustorium",2004,"LeighShadowRocks","General",34,"Cellana radians",19
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","General",37,"Cellana radians",10
"Haustrum haustorium",2004,"Leigh - Waterfall Rocks","Area_10",29,"Cellana radians",14
"Haustrum haustorium",2004,"PourereTuingaraPoint","Area_05",10,"Chamaesipho columna",2
"Haustrum haustorium",2004,"PourereTuingaraPoint","Area_01",10,"Chamaesipho columna",1
"Haustrum haustorium",2004,"PourereTuingaraPoint","Area_01",8,"Chamaesipho columna",1
"Haustrum haustorium",2004,"PourereTuingaraPoint","Area_02",8,"Chamaesipho columna",1
"Haustrum haustorium",2004,"PourereTuingaraPoint","Area_01",9,"Chamaesipho columna",2
"Haustrum haustorium",2004,"PourereTuingaraPoint","Area_01",13,"Chamaesipho columna",NA
"Haustrum haustorium",2004,"PourereTuingaraPoint","Area_03",10,"Chamaesipho columna",2
"Haustrum haustorium",2004,"PourereTuingaraPoint","Area_02",9,"Chamaesipho columna",2
"Haustrum haustorium",2004,"PourereTuingaraPoint","Area_01",12,"Chamaesipho columna",1
"Haustrum haustorium",2004,"PourereTuingaraPoint","Area_01",8,"Chamaesipho columna",2
"Haustrum haustorium",2004,"LimestoneBayPoint","Area_02",31,"Chamaesipho spp",6
"Haustrum haustorium",2004,"LimestoneBayPoint","Area_03",32,"Chamaesipho spp",6
"Haustrum haustorium",2004,"TaurangaHead","Area_03",34,"Diloma bicanaliculata",9
"Haustrum haustorium",1969,"Leigh - Tabletop Rocks and Boulders","General",35,"Diloma aethiops",15
"Haustrum haustorium",1969,"LeighHarbour","General",27.6,"Diloma aethiops",10.1
"Haustrum haustorium",2004,"MemorialGardenRocks","General",27,"Diloma aethiops",16
"Haustrum haustorium",1969,"Rangitoto Island - Whites Beach","General",36,"Diloma aethiops",12.7
"Haustrum haustorium",2004,"Leigh - Waterfall Rocks","Area_01",23,"Diloma aethiops",7
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","General",37.8,"Diloma aethiops",16.5
"Haustrum haustorium",1969,"Leigh - Tabletop Rocks and Boulders","General",48,"Diloma aethiops",19
"Haustrum haustorium",1969,"Whangarei","Area_01",35.6,"Nerita atramentosa",12.3
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","Area_09",32.8,"Diloma aethiops",14.3
"Haustrum haustorium",2004,"TaurangaHeadSWcorner","General",46,"Diloma bicanaliculata",13
"Haustrum haustorium",1969,"Whangarei","Area_01",41,"Nerita atramentosa",15.1
"Haustrum haustorium",2004,"Leigh - Tabletop Rocks and Boulders","Area_03",33,"Diloma nigerrima",6
"Haustrum haustorium",1969,"KaikouraPaine's","General",51.7,"Diloma aethiops",25.7
"Haustrum haustorium",2004,"WardBeach","Area_02",41,"Diloma aethiops",23
"Haustrum haustorium",1969,"LeighHarbour","General",34.9,"Nerita atramentosa",13.8
"Haustrum haustorium",1969,"Whangarei","Area_01",46.7,"Nerita atramentosa",7.6
"Haustrum haustorium",1969,"Whangarei","Area_01",19.2,"Nerita atramentosa",10.4
"Haustrum haustorium",1969,"Whangarei","Area_03",38.1,"Nerita atramentosa",12.1
"Haustrum haustorium",1969,"WaikukuaBay-2","General",39.3,"Nerita atramentosa",13
"Haustrum haustorium",1969,"Whangarei","Area_02",28.6,"Nerita atramentosa",14
"Haustrum haustorium",2004,"Rangitoto Island - Whites Beach","Area_04",42,"Diloma aethiops",9
"Haustrum haustorium",1969,"LeighGoatIslandReserve","General",NA,"Diloma aethiops",16
"Haustrum haustorium",1969,"Takapuna","General",34.1,"Diloma aethiops",16
"Haustrum haustorium",2004,"MemorialGardenRocks","Area_06",28,"Diloma aethiops",6
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","General",57.8,"Diloma aethiops",19.3
"Haustrum haustorium",2004,"CastlePointBoulders","General",40,"Diloma aethiops",14
"Haustrum haustorium",1969,"Leigh - Waterfall Rocks","General",47,"Diloma aethiops",20
"Haustrum haustorium",2004,"MemorialGardenRocks","Area_06",22,"Diloma aethiops",6
"Haustrum haustorium",2004,"MemorialGardenRocks","Area_01",31,"Diloma aethiops",10
"Haustrum haustorium",2004,"Leigh - Waterfall Rocks","Area_02",29,"Diloma aethiops",10
"Haustrum haustorium",2004,"CastlePointBoulders","General",44,"Diloma aethiops",13
"Haustrum haustorium",2004,"TaurangaHead","Area_02",36,"Diloma aethiops",20
"Haustrum haustorium",2004,"TungutuPoint","Area_02",31,"Diloma aethiops",13
"Haustrum haustorium",2004,"MatakitakiakupeCapePalliser","Area_01",57,"Diloma aethiops",25
"Haustrum haustorium",1969,"Leigh - Tabletop Rocks and Boulders","General",44,"Diloma aethiops",9
"Haustrum haustorium",1969,"LeighHarbour","General",38.1,"Diloma aethiops",16.1
"Haustrum haustorium",1969,"KaikouraPaine's","General",35.1,"Diloma aethiops",22
"Haustrum haustorium",2004,"TaurangaHeadWest","Area_02",31,"Diloma aethiops",6
"Haustrum haustorium",1969,"WaikukuBay","General",39.1,"Diloma aethiops",8.5
"Haustrum haustorium",2004,"Leigh - Waterfall Rocks","Area_08",38,"Diloma aethiops",10
"Haustrum haustorium",1969,"WaikukuaBay-2","General",32,"Nerita atramentosa",16.7
"Haustrum haustorium",1969,"Whangarei","Area_01",41.7,"Nerita atramentosa",14.1
"Haustrum haustorium",1969,"LeighHarbour","General",22.4,"Nerita atramentosa",14.2
"Haustrum haustorium",1969,"WaikukuBay","General",33.5,"Nerita atramentosa",20.8
"Haustrum haustorium",1969,"Whangarei","Area_01",38.9,"Nerita atramentosa",15.2
"Haustrum haustorium",1969,"Whangarei","Area_01",48.9,"Nerita atramentosa",18.1
"Haustrum haustorium",1969,"LeighHarbour","General",47.5,"Nerita atramentosa",14.3
"Haustrum haustorium",1969,"Whangarei","Area_03",36.7,"Nerita atramentosa",14.1
"Haustrum haustorium",1969,"LeighHarbour","General",36,"Nerita atramentosa",10.4
"Haustrum haustorium",1969,"Whangarei","Area_01",NA,"Nerita atramentosa",NA
"Haustrum haustorium",1969,"WaikukuaBay-2","General",39.5,"Nerita atramentosa",16.1
"Haustrum haustorium",1969,"Whangarei","Area_02",39.1,"Nerita atramentosa",16.1
"Haustrum haustorium",2004,"MatakitakiakupeCapePalliser","Area_03",41,"Diloma zelandica",10
"Haustrum haustorium",2004,"MatakitakiakupeCapePalliser","Area_03",38,"Diloma zelandica",8
"Haustrum haustorium",1969,"WaikukuBay","General",41.6,"Nerita atramentosa",16.7
"Haustrum haustorium",1969,"LeighHarbour","General",36.3,"Nerita atramentosa",14.3
"Haustrum haustorium",1969,"Whangarei","Area_02",46.9,"Nerita atramentosa",17
"Haustrum haustorium",1969,"WaikukuBay","General",44.1,"Nerita atramentosa",16.8
"Haustrum haustorium",1969,"Whangarei","Area_02",39.8,"Nerita atramentosa",18
"Haustrum haustorium",1969,"Whangarei","Area_03",36.4,"Nerita atramentosa",13.2
