7-day means,year,7-day period,,"long-term average
40-yr","long-term average
30-yr","long-term average
35-yr",anomaly,,
17.67,1967,1,01 Jan - 07 Jan,19.29,19.41,19.41,-1.62,0,0
17.51,1967,2,08 Jan - 14 Jan,19.72,19.81,19.81,-2.20,0,0
18.42,1967,3,15 Jan - 21 Jan,19.97,20.01,20.01,-1.55,0,0
19.32,1967,4,22 Jan - 28 Jan,20.15,20.14,20.15,-0.84,0,0
18.96,1967,5,29 Jan - 04 Feb,20.26,20.30,20.26,-1.30,0,0
18.90,1967,6,05 Feb - 11 Feb,20.46,20.49,20.46,-1.56,0,0
19.74,1967,7,12 Feb - 18 Feb,20.60,20.65,20.63,-0.86,0,0
20.24,1967,8,19 Feb - 25 Feb,20.62,20.67,20.69,-0.38,0,0
20.36,1967,9,26 Feb - 04 Mar,20.55,20.57,20.61,-0.19,0,0
20.51,1967,10,05 Mar - 11 Mar,20.58,20.64,20.69,-0.07,0,0
20.11,1967,11,12 Mar - 18 Mar,20.42,20.49,20.50,-0.30,0,0
20.58,1967,12,19 Mar - 25 Mar,20.27,20.24,20.28,0.31,0,0
19.91,1967,13,26 Mar - 01 Apr,20.10,20.08,20.13,-0.18,0,0
19.56,1967,14,02 Apr - 08 Apr,19.73,19.68,19.75,-0.17,0,0
19.79,1967,15,09 Apr - 15 Apr,19.37,19.37,19.42,0.41,0,0
19.04,1967,16,16 Apr - 22 Apr,19.06,19.03,19.08,-0.02,0,0
18.61,1967,17,23 Apr - 29 Apr,18.58,18.52,18.56,0.04,0,0
17.61,1967,18,30 Apr - 06 May,18.18,18.05,18.12,-0.56,0,0
17.21,1967,19,07 May - 13 May,17.76,17.66,17.72,-0.55,0,0
16.36,1967,20,14 May - 20 May,17.36,17.22,17.31,-1.00,0,0
16.67,1967,21,21 May - 27 May,17.00,16.82,16.92,-0.33,0,0
16.21,1967,22,28 May - 03 Jun,16.52,16.39,16.49,-0.31,0,0
15.46,1967,23,04 Jun - 10 Jun,16.10,16.02,16.08,-0.65,0,0
15.10,1967,24,11 Jun - 17 Jun,15.71,15.59,15.68,-0.61,0,0
15.09,1967,25,18 Jun - 24 Jun,15.33,15.20,15.28,-0.25,0,0
14.77,1967,26,25 Jun - 01 Jul,15.06,14.94,15.04,-0.29,0,0
14.69,1967,27,02 Jul - 08 Jul,14.75,14.65,14.74,-0.07,0,0
13.94,1967,28,09 Jul - 15 Jul,14.49,14.39,14.48,-0.54,0,0
13.90,1967,29,16 Jul - 22 Jul,14.27,14.17,14.25,-0.37,0,0
13.43,1967,30,23 Jul - 29 Jul,14.10,14.03,14.11,-0.66,0,0
13.68,1967,31,30 Jul - 05 Aug,14.02,13.98,14.04,-0.34,0,0
13.68,1967,32,06 Aug - 12 Aug,13.99,13.96,14.01,-0.31,0,0
14.67,1967,33,13 Aug - 19 Aug,13.96,13.91,13.97,0.71,0,0
14.23,1967,34,20 Aug - 26 Aug,13.95,13.90,13.95,0.27,0,0
14.27,1967,35,27 Aug - 02 Sep,13.98,13.89,14.00,0.29,0,0
14.04,1967,36,03 Sep - 09 Sep,14.09,14.00,14.08,-0.05,0,0
14.13,1967,37,10 Sep - 16 Sep,14.30,14.21,14.29,-0.17,0,0
14.83,1967,38,17 Sep - 23 Sep,14.50,14.42,14.50,0.32,0,0
15.07,1967,39,24 Sep - 30 Sep,14.71,14.60,14.68,0.36,0,0
15.40,1967,40,01 Oct - 07 Oct,14.89,14.82,14.92,0.51,0,0
16.03,1967,41,08 Oct - 14 Oct,15.09,15.05,15.13,0.94,0,0
16.66,1967,42,15 Oct - 21 Oct,15.24,15.19,15.24,1.42,0,0
17.04,1967,43,22 Oct - 28 Oct,15.62,15.55,15.62,1.42,0,0
17.06,1967,44,29 Oct - 4 Nov,15.95,15.90,15.97,1.10,0,0
16.37,1967,45,5 Nov - 11 Nov,16.36,16.36,16.40,0.01,0,0
15.80,1967,46,12 Nov - 18 Nov,16.62,16.68,16.69,-0.82,0,0
16.49,1967,47,19 Nov -25 Nov,16.88,16.91,16.93,-0.39,0,0
17.50,1967,48,26 Nov - 2 Dec,17.16,17.19,17.23,0.34,0,0
17.27,1967,49,3 Dec - 9 Dec,17.70,17.79,17.80,-0.43,0,0
17.19,1967,50,10 Dec -16 Dec,18.03,18.14,18.16,-0.85,0,0
17.89,1967,51,17 Dec - 23 Dec,18.44,18.54,18.59,-0.55,0,0
18.86,1967,52,24 Dec - 30 Dec,18.69,18.83,18.87,0.17,0,0
19.51,1968,1,01 Jan - 07 Jan,,,,0.22,0,0
20.69,1968,2,08 Jan - 14 Jan,,,,0.97,0,0
19.51,1968,3,15 Jan - 21 Jan,,,,-0.46,0,0
19.27,1968,4,22 Jan - 28 Jan,,,,-0.88,0,0
19.14,1968,5,29 Jan - 04 Feb,,,,-1.12,0,0
19.03,1968,6,05 Feb - 11 Feb,,,,-1.43,0,0
19.60,1968,7,12 Feb - 18 Feb,,,,-1.00,0,0
19.74,1968,8,19 Feb - 25 Feb,,,,-0.88,0,0
20.04,1968,9,26 Feb - 03 Mar,,,,-0.50,0,0
21.00,1968,10,04 Mar - 10 Mar,,,,0.42,0,0
21.29,1968,11,11 Mar - 17 Mar,,,,0.87,0,0
20.81,1968,12,18 Mar - 24 Mar,,,,0.54,0,0
20.99,1968,13,25 Mar - 31 Mar,,,,0.89,0,0
20.67,1968,14,01 Apr - 07 Apr,,,,0.94,0,0
20.07,1968,15,08 Apr - 14 Apr,,,,0.70,0,0
18.84,1968,16,15 Apr - 21 Apr,,,,-0.22,0,0
18.07,1968,17,22 Apr - 28 Apr,,,,-0.51,0,0
18.06,1968,18,29 Apr - 05 May,,,,-0.12,0,0
17.21,1968,19,06 May - 12 May,,,,-0.55,0,0
17.26,1968,20,13 May - 19 May,,,,-0.10,0,0
16.94,1968,21,20 May - 26 May,,,,-0.05,0,0
16.30,1968,22,27 May - 02 Jun,,,,-0.22,0,0
15.46,1968,23,03 Jun - 09 Jun,,,,-0.65,0,0
14.94,1968,24,10 Jun - 16 Jun,,,,-0.77,0,0
15.19,1968,25,17 Jun - 23 Jun,,,,-0.15,0,0
14.63,1968,26,24 Jun - 30 Jun,,,,-0.44,0,0
13.99,1968,27,01 Jul - 07 Jul,,,,-0.77,0,13.98571429
13.97,1968,28,08 Jul - 14 Jul,,,,-0.52,0,0
12.87,1968,29,15 Jul - 21 Jul,,,,-1.40,0,0
13.49,1968,30,22 Jul - 28 Jul,,,,-0.61,0,0
13.21,1968,31,29 Jul - 04 Aug,,,,-0.81,0,0
13.19,1968,32,05 Aug - 11 Aug,,,,-0.80,0,0
13.43,1968,33,12 Aug - 18 Aug,,,,-0.53,0,0
13.15,1968,34,19 Aug - 25 Aug,,,,-0.80,0,0
13.51,1968,35,26 Aug - 01 Sep,,,,-0.47,0,0
13.81,1968,36,02 Sep - 08 Sep,,,,-0.28,0,0
13.71,1968,37,09 Sep - 15 Sep,,,,-0.59,0,0
13.77,1968,38,16 Sep - 22 Sep,,,,-0.73,0,0
14.07,1968,39,23 Sep - 29 Sep,,,,-0.64,0,0
14.19,1968,40,30 Sep - 06 Oct,,,,-0.71,0,0
14.27,1968,41,07 Oct - 13 Oct,,,,-0.81,0,0
14.29,1968,42,14 Oct - 20 Oct,,,,-0.95,0,0
14.56,1968,43,21 Oct - 27 Oct,,,,-1.07,0,0
14.97,1968,44,28 Oct - 03 Nov,,,,-0.98,0,0
15.21,1968,45,04 Nov - 10 Nov,,,,-1.15,0,0
15.80,1968,46,11 Nov - 17 Nov,,,,-0.82,0,0
14.94,1968,47,18 Nov -24 Nov,,,,-1.93,0,0
15.34,1968,48,25 Nov - 01 Dec,,,,-1.81,0,0
16.39,1968,49,02 Dec - 08 Dec,,,,-1.31,0,0
16.59,1968,50,09 Dec -15 Dec,,,,-1.45,0,0
17.36,1968,51,16 Dec - 22 Dec,,,,-1.08,0,0
18.04,1968,52,23 Dec - 29 Dec,,,,-0.64,0,0
19.20,1969,1,01 Jan - 07 Jan,,,,-0.09,0,0
18.59,1969,2,08 Jan - 14 Jan,,,,-1.13,0,0
19.40,1969,3,15 Jan - 21 Jan,,,,-0.57,0,0
19.66,1969,4,22 Jan - 28 Jan,,,,-0.50,0,0
18.89,1969,5,29 Jan - 04 Feb,,,,-1.37,0,0
19.79,1969,6,05 Feb - 11 Feb,,,,-0.67,0,0
19.06,1969,7,12 Feb - 18 Feb,,,,-1.54,0,0
19.43,1969,8,19 Feb - 25 Feb,,,,-1.19,0,0
19.69,1969,9,26 Feb - 04 Mar,,,,-0.86,0,0
19.47,1969,10,05 Mar - 11 Mar,,,,-1.11,0,0
19.64,1969,11,12 Mar - 18 Mar,,,,-0.77,0,0
19.57,1969,12,19 Mar - 25 Mar,,,,-0.70,0,0
19.31,1969,13,26 Mar - 01 Apr,,,,-0.78,0,0
19.17,1969,14,02 Apr - 08 Apr,,,,-0.56,0,0
17.56,1969,15,09 Apr - 15 Apr,,,,-1.82,0,0
17.33,1969,16,16 Apr - 22 Apr,,,,-1.74,0,0
16.73,1969,17,23 Apr - 29 Apr,,,,-1.85,0,0
16.70,1969,18,30 Apr - 06 May,,,,-1.48,0,0
16.43,1969,19,07 May - 13 May,,,,-1.34,0,0
16.46,1969,20,14 May - 20 May,,,,-0.90,0,0
16.47,1969,21,21 May - 27 May,,,,-0.53,0,0
15.50,1969,22,28 May - 03 Jun,,,,-1.02,0,0
15.03,1969,23,04 Jun - 10 Jun,,,,-1.07,0,0
14.83,1969,24,11 Jun - 17 Jun,,,,-0.88,0,0
14.31,1969,25,18 Jun - 24 Jun,,,,-1.02,0,0
14.19,1969,26,25 Jun - 01 Jul,,,,-0.88,0,0
14.03,1969,27,02 Jul - 08 Jul,,,,-0.73,0,0
13.69,1969,28,09 Jul - 15 Jul,,,,-0.80,0,0
13.69,1969,29,16 Jul - 22 Jul,,,,-0.58,0,0
13.59,1969,30,23 Jul - 29 Jul,,,,-0.51,0,0
13.37,1969,31,30 Jul - 05 Aug,,,,-0.65,0,0
13.66,1969,32,06 Aug - 12 Aug,,,,-0.33,0,0
13.96,1969,33,13 Aug - 19 Aug,,,,0.00,0,0
13.36,1969,34,20 Aug - 26 Aug,,,,-0.59,0,0
13.47,1969,35,27 Aug - 02 Sep,,,,-0.51,0,0
14.20,1969,36,03 Sep - 09 Sep,,,,0.11,0,0
14.59,1969,37,10 Sep - 16 Sep,,,,0.28,0,0
14.59,1969,38,17 Sep - 23 Sep,,,,0.08,0,0
14.77,1969,39,24 Sep - 30 Sep,,,,0.06,0,0
14.69,1969,40,01 Oct - 07 Oct,,,,-0.21,0,0
14.73,1969,41,08 Oct - 14 Oct,,,,-0.36,0,0
14.90,1969,42,15 Oct - 21 Oct,,,,-0.34,0,0
15.13,1969,43,22 Oct - 28 Oct,,,,-0.49,0,0
15.34,1969,44,29 Oct - 4 Nov,,,,-0.61,0,0
16.41,1969,45,5 Nov - 11 Nov,,,,0.05,0,0
17.30,1969,46,12 Nov - 18 Nov,,,,0.68,0,0
17.94,1969,47,19 Nov -25 Nov,,,,1.07,0,0
17.61,1969,48,26 Nov - 2 Dec,,,,0.46,0,0
18.19,1969,49,3 Dec - 9 Dec,,,,0.49,0,0
19.30,1969,50,10 Dec -16 Dec,,,,1.27,0,0
19.17,1969,51,17 Dec - 23 Dec,,,,0.73,0,0
19.45,1969,52,24 Dec - 30 Dec,,,,0.76,0,0
21.09,1970,1,01 Jan - 07 Jan,,,,1.80,0,0
20.99,1970,2,08 Jan - 14 Jan,,,,1.27,0,0
21.13,1970,3,15 Jan - 21 Jan,,,,1.16,0,0
22.19,1970,4,22 Jan - 28 Jan,,,,2.03,0,0
22.17,1970,5,29 Jan - 04 Feb,,,,1.91,0,0
21.70,1970,6,05 Feb - 11 Feb,,,,1.24,0,0
21.50,1970,7,12 Feb - 18 Feb,,,,0.90,0,0
21.69,1970,8,19 Feb - 25 Feb,,,,1.07,0,0
21.54,1970,9,26 Feb - 04 Mar,,,,1.00,0,0
21.66,1970,10,05 Mar - 11 Mar,,,,1.08,0,0
21.29,1970,11,12 Mar - 18 Mar,,,,0.87,0,0
20.96,1970,12,19 Mar - 25 Mar,,,,0.69,0,0
21.31,1970,13,26 Mar - 01 Apr,,,,1.22,0,0
20.87,1970,14,02 Apr - 08 Apr,,,,1.14,0,0
20.11,1970,15,09 Apr - 15 Apr,,,,0.74,0,0
19.40,1970,16,16 Apr - 22 Apr,,,,0.34,0,0
19.36,1970,17,23 Apr - 29 Apr,,,,0.78,0,0
19.07,1970,18,30 Apr - 06 May,,,,0.90,0,0
18.57,1970,19,07 May - 13 May,,,,0.81,0,0
18.04,1970,20,14 May - 20 May,,,,0.69,0,0
17.17,1970,21,21 May - 27 May,,,,0.17,0,0
16.77,1970,22,28 May - 03 Jun,,,,0.25,0,0
16.56,1970,23,04 Jun - 10 Jun,,,,0.45,0,0
15.99,1970,24,11 Jun - 17 Jun,,,,0.27,0,0
15.51,1970,25,18 Jun - 24 Jun,,,,0.18,0,0
15.49,1970,26,25 Jun - 01 Jul,,,,0.42,0,0
15.37,1970,27,02 Jul - 08 Jul,,,,0.62,0,0
15.21,1970,28,09 Jul - 15 Jul,,,,0.73,0,0
14.70,1970,29,16 Jul - 22 Jul,,,,0.43,0,0
14.70,1970,30,23 Jul - 29 Jul,,,,0.60,0,0
14.63,1970,31,30 Jul - 05 Aug,,,,0.61,0,0
14.16,1970,32,06 Aug - 12 Aug,,,,0.17,0,0
13.76,1970,33,13 Aug - 19 Aug,,,,-0.20,0,0
13.89,1970,34,20 Aug - 26 Aug,,,,-0.06,0,0
14.03,1970,35,27 Aug - 02 Sep,,,,0.05,0,0
14.29,1970,36,03 Sep - 09 Sep,,,,0.20,0,0
14.66,1970,37,10 Sep - 16 Sep,,,,0.35,0,0
14.70,1970,38,17 Sep - 23 Sep,,,,0.20,0,0
14.60,1970,39,24 Sep - 30 Sep,,,,-0.11,0,0
15.01,1970,40,01 Oct - 07 Oct,,,,0.12,0,0
15.14,1970,41,08 Oct - 14 Oct,,,,0.06,0,0
14.80,1970,42,15 Oct - 21 Oct,,,,-0.44,0,0
15.61,1970,43,22 Oct - 28 Oct,,,,-0.01,0,0
16.29,1970,44,29 Oct - 4 Nov,,,,0.33,0,0
17.14,1970,45,5 Nov - 11 Nov,,,,0.78,0,0
18.24,1970,46,12 Nov - 18 Nov,,,,1.62,0,0
17.93,1970,47,19 Nov -25 Nov,,,,1.05,0,0
19.77,1970,48,26 Nov - 2 Dec,,,,2.62,0,0
19.86,1970,49,3 Dec - 9 Dec,,,,2.16,0,0
19.80,1970,50,10 Dec -16 Dec,,,,1.77,0,0
20.00,1970,51,17 Dec - 23 Dec,,,,1.56,0,0
19.63,1970,52,24 Dec - 30 Dec,,,,0.94,0,0
20.44,1971,1,01 Jan - 07 Jan,,,,1.15,0,0
20.79,1971,2,08 Jan - 14 Jan,,,,1.07,0,0
20.81,1971,3,15 Jan - 21 Jan,,,,0.84,0,0
21.76,1971,4,22 Jan - 28 Jan,,,,1.60,0,0
21.86,1971,5,29 Jan - 04 Feb,,,,1.60,0,0
21.96,1971,6,05 Feb - 11 Feb,,,,1.50,0,0
22.56,1971,7,12 Feb - 18 Feb,,,,1.96,0,0
22.16,1971,8,19 Feb - 25 Feb,,,,1.54,0,0
21.47,1971,9,26 Feb - 04 Mar,,,,0.92,0,0
21.03,1971,10,05 Mar - 11 Mar,,,,0.45,0,0
20.83,1971,11,12 Mar - 18 Mar,,,,0.41,0,0
21.06,1971,12,19 Mar - 25 Mar,,,,0.79,0,0
20.61,1971,13,26 Mar - 01 Apr,,,,0.52,0,0
20.24,1971,14,02 Apr - 08 Apr,,,,0.51,0,0
19.93,1971,15,09 Apr - 15 Apr,,,,0.56,0,0
19.66,1971,16,16 Apr - 22 Apr,,,,0.59,0,0
19.24,1971,17,23 Apr - 29 Apr,,,,0.66,0,0
19.07,1971,18,30 Apr - 06 May,,,,0.90,0,0
18.90,1971,19,07 May - 13 May,,,,1.14,0,0
18.14,1971,20,14 May - 20 May,,,,0.79,0,0
17.66,1971,21,21 May - 27 May,,,,0.66,0,0
17.43,1971,22,28 May - 03 Jun,,,,0.91,0,0
18.04,1971,23,04 Jun - 10 Jun,,,,1.94,0,0
16.93,1971,24,11 Jun - 17 Jun,,,,1.22,0,0
16.39,1971,25,18 Jun - 24 Jun,,,,1.05,0,0
15.97,1971,26,25 Jun - 01 Jul,,,,0.91,0,0
15.59,1971,27,02 Jul - 08 Jul,,,,0.83,0,0
14.79,1971,28,09 Jul - 15 Jul,,,,0.30,0,0
14.11,1971,29,16 Jul - 22 Jul,,,,-0.16,0,0
14.46,1971,30,23 Jul - 29 Jul,,,,0.36,0,0
14.26,1971,31,30 Jul - 05 Aug,,,,0.24,0,0
14.67,1971,32,06 Aug - 12 Aug,,,,0.68,0,0
14.69,1971,33,13 Aug - 19 Aug,,,,0.72,0,0
14.67,1971,34,20 Aug - 26 Aug,,,,0.72,0,0
