,,,,,,Leigh Marine Laboratory,,,,,,,,,,,,,,,,
,,,,,,Sea Surface Temperature,,,,,,,,,,,,,,,,
,,,,,,monthly means,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,Year,,,,,anom. from 41-yr mean,,,7-yr running mean
1967,18.31,19.59,20.26,19.23,16.86,15.21,13.98,14.21,14.51,16.39,16.58,17.77,,16.91,,,,,-0.24,,,
1968,19.74,19.46,20.92,19.31,17.19,15.11,13.54,13.31,13.84,14.40,15.30,17.10,,16.60,,,,,-0.55,,,
1969,19.17,19.41,19.49,17.71,16.39,14.70,13.74,13.56,14.48,14.88,17.07,18.94,,16.63,,,,,-0.52,,,
1970,21.44,21.71,21.30,19.97,17.98,16.01,14.95,14.06,14.55,15.23,17.91,19.83,,17.91,,,,,0.76,,,0.13
1971,21.04,22.10,20.95,19.78,18.27,16.94,14.78,14.70,15.23,15.56,17.01,18.49,,17.90,,,,,0.76,,,0.30
1972,19.78,19.87,20.83,19.33,17.29,15.06,14.46,13.55,14.12,15.37,17.83,18.45,,17.16,,,,,0.01,,,0.43
1973,20.33,21.31,20.99,19.39,17.46,15.88,14.67,14.53,14.98,16.45,18.04,20.03,,17.84,,,,,0.69,,,0.44
1974,21.36,22.88,21.63,20.06,17.93,16.05,15.25,14.47,14.96,16.03,17.40,19.46,,18.13,,,,,0.98,,,0.27
1975,21.95,21.05,20.58,19.22,17.59,15.80,14.15,14.08,14.47,15.49,17.05,18.41,,17.49,,,,,0.34,,,0.21
1976,19.41,19.31,19.90,18.95,16.98,15.09,14.15,13.68,14.13,15.36,15.91,17.70,,16.72,,,,,-0.43,,,0.27
1977,18.52,20.19,20.79,19.07,16.35,15.02,14.20,13.84,13.61,14.99,16.10,17.56,,16.69,,,,,-0.46,,,0.09
1978,19.51,21.70,21.31,20.07,17.84,16.02,14.62,14.08,14.51,15.40,16.79,18.30,,17.51,,,,,0.36,,,0.01
1979,20.65,20.41,20.72,19.53,17.25,15.57,14.55,14.81,14.88,15.65,17.50,18.89,,17.53,,,,,0.39,,,-0.07
1980,19.44,20.60,19.39,17.91,16.90,15.23,13.96,13.31,13.99,15.14,16.03,17.16,,16.59,,,,,-0.56,,,-0.13
1981,20.88,21.59,21.54,20.61,18.26,16.47,14.63,13.79,13.74,14.94,16.22,18.73,,17.62,,,,,0.47,,,-0.05
1982,20.24,20.47,20.16,18.86,17.16,15.46,14.17,13.85,14.48,15.01,16.04,16.85,,16.90,,,,,-0.25,,,-0.07
