monthly mean,year,month,month,,40-year average 1967-2006,,monthly mean anomalies,5MRM Anaom-alies,,30-year average 1967-1996,35-year average 1967-2001
18.31,1967,1,Jan-67,,19.83,,-1.52,,,19.88,19.88
19.59,1967,2,Feb-67,,20.51,,-0.93,,,20.56,20.55
20.26,1967,3,Mar-67,,20.38,,-0.12,-0.61,,20.39,20.43
19.23,1967,4,Apr-67,,19.18,,0.05,-0.40,,19.14,19.19
16.86,1967,5,May-67,,17.41,,-0.55,-0.29,,17.27,17.36
15.21,1967,6,Jun-67,,15.65,,-0.44,-0.22,,15.53,15.61
13.98,1967,7,Jul-67,,14.39,,-0.41,-0.21,,14.30,14.38
14.21,1967,8,Aug-67,,13.98,,0.23,0.12,,13.93,13.99
14.51,1967,9,Sep-67,,14.38,,0.13,0.20,,14.29,14.37
16.39,1967,10,Oct-67,,15.28,,1.11,0.20,,15.23,15.30
16.58,1967,11,Nov-67,,16.63,,-0.05,0.14,,16.64,16.68
17.77,1967,12,Dec-67,,18.19,,-0.42,-0.10,,18.29,18.33
19.74,1968,1,Jan-68,,,,-0.10,-0.22,,,
19.46,1968,2,Feb-68,,,,-1.06,-0.18,,,
20.92,1968,3,Mar-68,,,,0.54,-0.14,,,
19.31,1968,4,Apr-68,,,,0.13,-0.23,,,
17.19,1968,5,May-68,,,,-0.22,-0.19,,,
15.11,1968,6,Jun-68,,,,-0.54,-0.43,,,
13.54,1968,7,Jul-68,,,,-0.85,-0.56,,,
13.31,1968,8,Aug-68,,,,-0.67,-0.70,,,
13.84,1968,9,Sep-68,,,,-0.54,-0.85,,,
14.40,1968,10,Oct-68,,,,-0.88,-0.90,,,
15.30,1968,11,Nov-68,,,,-1.33,-0.90,,,
17.10,1968,12,Dec-68,,,,-1.08,-1.01,,,
19.17,1969,1,Jan-69,,,,-0.66,-1.01,,,
19.41,1969,2,Feb-69,,,,-1.10,-1.04,,,
19.49,1969,3,Mar-69,,,,-0.89,-1.03,,,
17.71,1969,4,Apr-69,,,,-1.47,-1.08,,,
