Site,NZ N-coordinate,NZ E-coordinate,Region,Coast
MemorialGardenRocks,5866764,2566404,Kaikoura,South_Island_East
EPFSLabRocks,5865540,2567382,Kaikoura,South_Island_East
SwimmingPoolRocks,,,Kaikoura,South_Island_East
AvocaPointNorth,5865446,2568244,Kaikoura,South_Island_East
AvocaPointSouth,5865446,2568244,Kaikoura,South_Island_East
WhakatuPoint,5865651,2568129,Kaikoura,South_Island_East
LighthouseReef,5864581,2569000,Kaikoura,South_Island_East
WairepoLagoon,,,Kaikoura,South_Island_East
OaroNorth,5854380,2551731,Kaikoura,South_Island_East
OaroMid,5853711,2551503,Kaikoura,South_Island_East
OaroSouth,5853593,2551499,Kaikoura,South_Island_East
OtumatuRock,5858017,2553518,Kaikoura,South_Island_East
FirstBay,5864336,2568788,Kaikoura,South_Island_East
BlueDuck,5880618,2573680,Kaikoura,South_Island_East
LimestoneBayPoint,5864282,2566550,Kaikoura,South_Island_East
Raramai,5860822,2555403,Kaikoura,South_Island_East
WardBeach,5928089,2608283,Cape_Campbell,South_Island_East
Opunake,6193622,2583053,Southern_Taranaki_Bight,North_Island_South
TungutuPoint,6520092,2664820,East_Auckland,North_Island_East
TeWerahiNorth,6751503,2481366,North_Cape,North_Island_West
TapotupotuBayWest,6751887,2484669,North_Cape,North_Island_West
TapotupotuBayEast,6751826,2485006,North_Cape,North_Island_East
TeWerahiBeach,6748570,2480523,North_Cape,North_Island_South
LeighShadowRocks,6546108,2673073,East_Auckland,North_Island_East
LeighGoatIslandReserve,6546417,2672801,East_Auckland,North_Island_East
LeighWaterfallandPenny'sRocks,6546417,2672801,East_Auckland,North_Island_East
LeighTabletopRocksandBoulders,6546278,2672484,East_Auckland,North_Island_East
LeighEchinodermReef,6546353,2671698,East_Auckland,North_Island_East
RedBeachCliff,6509819,2663221,East_Auckland,North_Island_East
RedBeach,6509773,2663367,East_Auckland,North_Island_East
RangitotoIslandWhiteBeach,6490161,2674072,East_Auckland,North_Island_East
RangitotoIslandWharf,,,East_Auckland,North_Island_East
PourereTuingaraPoint,6111500,2839250,Wairarapara,North_Island_East
CastlePointCave,6029083,2782166,Wairarapara,North_Island_East
CastlePointBoulders,6028987,2782099,Wairarapara,North_Island_East
MatakitakiakupeCapePalliser,5952472,2699526,Wairarapara,North_Island_South
PointHoward,,,Wellington,North_Island_South
KauPoint,5989259,2663603,Wellington,North_Island_South
IslandBayLabRocks,5982714,2657671,Wellington,North_Island_South
MoaPoint,5983009,2661399,Wellington,North_Island_South
QuarryBayEast,5982755,2656332,Wellington,North_Island_South
QuarryBayWest,5982711,2655657,Wellington,North_Island_South
PukeruaBay,6018152,2668575,Wellington,North_Island_South
WairakaPoint,6017849,2667259,Wellington,North_Island_South
ShellyBay,5988098,2662151,Wellington,North_Island_South
HongoekaBay,6013352,2665796,Wellington,North_Island_South
WhitireiaParkPoint,6011392,2665284,Wellington,North_Island_South
SharksTooth,5863657,2566843,Kaikoura,South_Island_East
SouthBayRocks,5865192,2565796,Kaikoura,South_Island_East
Whaler'sBay,5863739,2567264,Kaikoura,South_Island_East
GentleAnnie'sPoint,5966390,2422090,Westland,South_Island_West
TaurangaBayNorth,5936796,2381603,Westland,South_Island_West
TaurangaHeadWest,5935555,2381244,Westland,South_Island_West
TaurangaHeadSWcorner,5935514,2381323,Westland,South_Island_West
TaurangaHeadSouthBoulders,5935526,2381404,Westland,South_Island_West
TaurangaHead,5935850,2381578,Westland,South_Island_West
CharlestonJoyceBay,5921552,2380143,Westland,South_Island_West
CharlestonConstantBay,5921552,2380143,Westland,South_Island_West
CapeFoulwindNWPlatform,5938940,2382452,Westland,South_Island_West
CapeFoulwind,5938210,2381793,Westland,South_Island_West
CapeFoulwindWest2,5938426,2382036,Westland,South_Island_West
DuffsKnobNorth,5860341,2554859,Kaikoura,South_Island_East
DuffsKnobSouth(KieKieRecreationReserve),5859738,2554286,Kaikoura,South_Island_East
Intertunnel-South,5861550,2556788,Kaikoura,South_Island_East
Intertunnel-North,5861690,2557071,Kaikoura,South_Island_East
Takapuna,6485700,2671770,East_Auckland,North_Island_East
KaikouraPaine's,,,Kaikoura,South_Island_East
WaikukuBay,6747701,2511769,North_Cape,North_Island_East
LeighHarbour,6544270,2672931,East_Auckland,North_Island_East
WhangareiBaptistCamp,,,North_Cape,North_Island_East
WaikukuaBay-2,,,North_Cape,North_Island_East
CapeCampbellLighthouse,5941900,2616400,Cape_Campbell,South_Island_East
ParititahiTunnelNorth,5862649,2558275,Kaikoura,South_Island_East
ParititahiTunnelSouth,5861928,2557743,Kaikoura,South_Island_East
ParititahiTunnelPinnacleRock,5861983,2558000,Kaikoura,South_Island_East
ParititahiTunnelSouth2,5861983,2557501,Kaikoura,South_Island_East
IntertunnelNorth2,5861715,2557391,Kaikoura,South_Island_East
PaiaPointNorth,5859379,2554134,Kaikoura,South_Island_East
PaiaPoint,5859204,2554140,Kaikoura,South_Island_East
Rakautara,5882637,2576996,Kaikoura,South_Island_East
JacksonHeadEast,5683839,2158620,Haast,South_Island_Southwest
JacksonHeadNorth,5684331,2158780,Haast,South_Island_Southwest
JacksonHeadNW,5685027,2158339,Haast,South_Island_Southwest
JacksonHead-MengeCages,5684340,2157672,Haast,South_Island_Southwest
JacksonHead,5684298,2157576,Haast,South_Island_Southwest
OkahuPoint,5684243,2157425,Haast,South_Island_Southwest
Smoothwater Bay South,5683285,2156287,Westland,South_Island_West
RobynSeaTable,1,1,Kaikoura,South_Island_West
