Pred,Prey,MatchToPred,MatchToPrey
Haustrum haustorium,Atalacmea fragilis,Haustrum haustorium,Cellana radians
Haustrum haustorium,Cantharidella tesselata,Haustrum haustorium,Cantharidella tesselata
Haustrum haustorium,Cellana denticulata,Haustrum haustorium,Cellana denticulata
Haustrum haustorium,Cellana ornata,Haustrum haustorium,Cellana ornata
Haustrum haustorium,Cellana radians,Haustrum haustorium,Cellana radians
Haustrum haustorium,Cellana stellifera,Haustrum haustorium,Cellana radians
Haustrum haustorium,Chamaesipho columna,Haustrum haustorium,Chamaesipho spp
Haustrum haustorium,Chamaesipho spp,Haustrum haustorium,Chamaesipho spp
Haustrum haustorium,Cominella adspersa,Haustrum haustorium,Haustrum scobina
Haustrum haustorium,Crassostrea gigas,Haustrum scobina,Mytilus galloprovincialis
Haustrum haustorium,Dicathais orbita,Haustrum haustorium,Haustrum scobina
Haustrum haustorium,Diloma aethiops,Haustrum haustorium,Diloma aethiops
Haustrum haustorium,Diloma bicanaliculata,Haustrum haustorium,Diloma aethiops
Haustrum haustorium,Diloma nigerrima,Haustrum haustorium,Diloma aethiops
Haustrum haustorium,Diloma zelandica,Haustrum haustorium,Diloma aethiops
Haustrum haustorium,Fossarina rimata,Haustrum haustorium,Risellopsis varia
Haustrum haustorium,Haustrum haustorium,Haustrum haustorium,Haustrum scobina
Haustrum haustorium,Haustrum scobina,Haustrum haustorium,Haustrum scobina
Haustrum haustorium,Mytilus galloprovincialis,Haustrum scobina,Mytilus galloprovincialis
Haustrum haustorium,Nerita atramentosa,Haustrum haustorium,Diloma aethiops
Haustrum haustorium,Notoacmea parviconoidea,Haustrum haustorium,Notoacmea spp
Haustrum haustorium,Paratrophon patens,Haustrum haustorium,Haustrum scobina
Haustrum haustorium,Patelloida corticata,Haustrum haustorium,Patelloida corticata
Haustrum haustorium,Plaxiphora caelata,Haustrum haustorium,Plaxiphora caelata
Haustrum haustorium,Risellopsis varia,Haustrum haustorium,Risellopsis varia
Haustrum haustorium,Siphonaria australis,Haustrum haustorium,Siphonaria australis
Haustrum haustorium,Sypharochiton pelliserpentis,Haustrum haustorium,Sypharochiton pelliserpentis
Haustrum haustorium,Trimusculus conicus,Haustrum haustorium,Siphonaria australis
Haustrum haustorium,Turbo smaragdus,Haustrum haustorium,Turbo smaragdus
Haustrum haustorium,UNID,Haustrum haustorium,UNID
Haustrum haustorium,UNID Chiton,Haustrum haustorium,Plaxiphora caelata
Haustrum haustorium,UNID Diloma,Haustrum haustorium,Diloma aethiops
Haustrum haustorium,UNID Limpet,Haustrum haustorium,Notoacmea spp
Haustrum haustorium,UNID Notoacmea,Haustrum haustorium,Notoacmea spp
Haustrum haustorium,UNID Snail,Haustrum haustorium,Diloma aethiops
Haustrum haustorium,Zeacumantus subcarinatus,Haustrum haustorium,Austrolittorina cincta
